config.logging_config 2023-12-13 17:31:07,281 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:31:07,282 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:31:07,282 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple (APPLE_NEW2022_051)
config.logging_config 2023-12-13 17:31:07,282 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:31:07,282 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:31:07,282 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:31:07,282 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:31:07,283 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Starlight
config.logging_config 2023-12-13 17:31:07,283 WARNING No matches to `model_number_pattern` in `title_copy`. Title: (PRODUCT) RED
config.logging_config 2023-12-13 17:31:07,283 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
config.logging_config 2023-12-13 17:31:07,283 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple
config.logging_config 2023-12-13 17:31:07,283 WARNING No matches to `model_number_pattern` in `title_copy`. Title: (PRODUCT) RED
config.logging_config 2023-12-13 17:31:07,283 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold (APPLE_NEW2022_049)
config.logging_config 2023-12-13 17:31:07,283 WARNING No matches to `model_number_pattern` in `title_copy`. Title: PRODUCT Red (APPLE_NEW2022_001)
config.logging_config 2023-12-13 17:31:07,283 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:31:07,283 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
config.logging_config 2023-12-13 17:31:07,283 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple (APPLE_NEW2022_042)
config.logging_config 2023-12-13 17:31:07,284 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple
config.logging_config 2023-12-13 17:31:07,284 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:31:07,284 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold (APPLE_NEW2022_044)
config.logging_config 2023-12-13 17:31:07,284 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold
config.logging_config 2023-12-13 17:31:07,284 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:31:07,284 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Purple
config.logging_config 2023-12-13 17:31:07,285 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Deep Purple
config.logging_config 2023-12-13 17:31:07,285 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Midnight (APPLE_NEW2022_008)
config.logging_config 2023-12-13 17:31:07,285 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Gold (APPLE_NEW2022_031)
config.logging_config 2023-12-13 17:31:07,285 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Silver (APPLE_NEW2022_056)
config.logging_config 2023-12-13 17:31:07,285 WARNING No matches to `model_number_pattern` in `title_copy`. Title: PRODUCT RED (APPLE_NEW2022_016)
config.logging_config 2023-12-13 17:31:07,285 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Silver
config.logging_config 2023-12-13 17:31:07,285 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Space Black
config.logging_config 2023-12-13 17:31:07,285 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Blue
config.logging_config 2023-12-13 17:31:07,286 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Yellow
config.logging_config 2023-12-13 17:31:07,286 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Silver
config.logging_config 2023-12-13 17:31:07,286 WARNING No matches to `model_number_pattern` in `title_copy`. Title: 2022  (PRODUCT) RED A2783
config.logging_config 2023-12-13 17:31:07,286 WARNING No matches to `model_number_pattern` in `title_copy`. Title: Yellow
config.logging_config 2023-12-13 17:38:25,988 INFO Heading to https://www.foxtrot.com.ua/uk/shop/odessa/mobilnye_telefony_apple.html
config.logging_config 2023-12-13 17:38:28,204 INFO Status code: 200
